Name,Designator,Footprint,Quantity,Notes,
220nF capacitor,"C1,C3,C7,C21,C23, C25,C19,C20,C28",0805',9,805 SMT,
56nF capacitor,"C11,C13",0805',2,805 SMT,
220pF capacitor,"C2,C4,C5,C6,C8,C24",0805',6,805 SMT,
100nF capacitor,"C22,C10,C14,C15, C16,C17,C18",0805',7,805 SMT,
10uF capacitor,C26,CAP_2.5MM,1,10uF electrolytic capacitor,
100pF capacitor,C27,0805',1,805 SMT,
47pF capacitor,"C9,C12",0805',2,805 SMT,
2.54mm female header 2x3,"CN1, CN2, CN3",M2X3,3,Header 2x3P 2.54mm,
1N4148,"D1,D2,D3,D4,D5, D9,D10,D6,D7, D8,D11,D12,D13",4148,13,small signal diode,
1N5817,"D14,D15,D16",5817,3,1N5817 diode,
SPDT on-off-on,"G$1,G$2",SUBMINI_TOGGLE,2,Mountain-style submini,
SPDT on-on,"G$3,G$4,G$5,G$6, G$7,G$9, G$8,G$10,G$11",SUBMINI_TOGGLE,9,Mountain-style submini,
2.54mm female header 2x4,"HSYNC,VSYNC",HDR-4X2/2.54,2,Header2X4P 2.54mm,
LED-3MM,LED1,LED-3MM/2.54,1,"red, yellow or orange",
2.54mm female header 1x2,"P1,P2,P3,P4,P5, P6,P20,P10,P11, P19,P12,P13, P18, P21",HDR-2X1/2.54,14,Headers  Pins 1*2P,
2x8 pin box header,P7,HDR-IDC-2.54-2X8P,1,IDC Box 2.54mm 16P Straight,
2x7 pin box header,P9,CON_HEADER_2X07,1,IDC Box 2.54mm 14P Straight,
2N3904,Q1,TO-92V,1,transistor,
1K resistor,"R1,R2,R3,R4,R5, R7,R8,R9,R10,R15, R16,R18,R26,R11, R12,R13,R14,R23, R28,R55,R56,R57, R58,R59",0805',24,805 SMT,
100K resistor,"R17,R24,R21,R27, R31,R32,R34,R37, R38,R43,R44,R45",0805',12,805 SMT,
470R resistor,R41,0805',1,805 SMT,
10K resistor,"R47,R48,R49,R50, R51,R52,R54,R46, R53",0805',9,805 SMT,
56K resistor,"R6,R19,R20,R22, R25,R29,R30,R33, R35,R36,R39,R40,R42",0805',13,805 SMT,
40106,U1,SO14,1,40106 hex inverter (SMT),
2x5 pin box header,U14,HEADER_BOX_2.54_2X5_65_32,1,IDC Box 2.54mm 10P Straight,
4046,U2,SO16,1,4046 PLL (SMT),
2.1MMJACKTHM,U24,PJ-102A,1,2.1mm DC power jack,
7805,U25,TO-220-ALT,1,5vdc regulator,
556,U3,SO-14-WIDE,1,556 dual timer (SMT),
2.54mm female header 1x3,"U4, U5, U8, U9, U10, U11, U12, U13, U15",2.54MM HEADER 1X3,9,2.54mm header 1x3,
TLV2774INE4,"U6,U7",SO14,2,TLV2774 quad op-amp (SMT),
1K pot,"VR27,VR25,VR24",9MM_SNAP-IN_POT,3,"""Song Huei Tall Trimmer""",
1M pot,VR28,9MM_SNAP-IN_POT,1,"""Song Huei Tall Trimmer""",
100K pot,"VR4,VR3,VR1,VR2, VR5,VR8,VR6,VR9",9MM_SNAP-IN_POT,8,"""Song Huei Tall Trimmer""",
10K pot,"VR7,VR10",9MM_SNAP-IN_POT,2,"""Song Huei Tall Trimmer""",
M3 screw 6mm,,,4,,
M3 .5mm washer,,,3,,
M3 10mm F-F standoff,,,4,,
M3 8mm M-F standoff,,,3,,